"","caseid","V1","V2","V3","V4","V5","V6","V7"
"474","20160112150750","28","01","Full time","01","480","0","75"
"475","20160112150751","32","02","Full time","01","483","0","443"
"476","20160112150763","33","02","Part time","01","660","0","270"
"477","20160112150765","51","01","Full time","01","365","0","90"
"478","20160112150767","50","01","Part time","01","510","0","150"
"479","20160112150769","18","01","Part time","01","600","135","200"
"480","20160112150774","67","01","No answer","02","540","0","563"
"481","20160112150777","31","01","No answer","01","273","0","595"
"482","20160112150779","85","02","No answer","02","450","0","465"
"483","20160112150780","32","02","Part time","01","640","0","185"
"484","20160112150784","32","02","Full time","01","541","0","0"
"485","20160112150785","68","02","No answer","01","580","0","415"
"486","20160112150800","43","02","Full time","01","540","0","745"
"487","20160112150804","51","01","Full time","01","285","0","150"
"488","20160112150808","32","02","No answer","01","878","0","7"
"489","20160112150812","50","01","Full time","01","540","0","595"
"490","20160112150814","66","02","No answer","01","390","0","254"
"491","20160112150817","51","02","No answer","01","600","0","210"
"492","20160112150818","44","02","No answer","01","480","0","440"
"493","20160112150819","42","01","Full time","02","530","0","60"
"494","20160112150820","58","01","Full time","01","330","0","200"
"495","20160112150821","40","02","No answer","01","240","0","0"
"496","20160112150822","79","02","No answer","01","744","0","315"
"497","20160112150823","45","02","No answer","02","780","0","345"
"498","20160112150826","40","02","No answer","01","581","0","352"
"499","20160112150828","62","02","No answer","01","540","0","635"
"500","20160112150833","25","02","Part time","01","600","0","135"
"501","20160112150836","40","01","No answer","02","540","0","855"
"502","20160112150838","65","02","No answer","01","540","0","617"
"503","20160112150845","40","02","No answer","01","450","0","120"
"504","20160112150850","62","02","No answer","01","647","0","700"
"505","20160112150852","43","01","Full time","01","670","0","300"
"506","20160112150862","45","02","Part time","01","510","0","125"
"507","20160112150875","35","01","Full time","01","660","0","660"
"508","20160112150876","57","01","Part time","01","435","0","740"
"509","20160112150884","52","01","Full time","01","600","0","670"
"510","20160112150886","21","02","Full time","01","270","0","495"
"511","20160112150887","17","01","No answer","01","450","250","250"
"512","20160112150896","18","01","Part time","01","495","0","522"
"513","20160112150897","15","02","No answer","01","480","80","106"
"514","20160112150898","36","01","Full time","01","450","0","130"
"515","20160112150902","51","01","No answer","01","270","0","660"
"516","20160112150903","64","02","No answer","01","690","0","0"
"517","20160112150908","15","01","No answer","01","750","0","370"
"518","20160112150912","56","01","No answer","01","630","0","758"
"519","20160112150914","58","02","Full time","01","660","0","205"
"520","20160112150916","60","01","No answer","01","1130","0","180"
"521","20160112150918","56","01","No answer","01","660","0","570"
"522","20160112150920","43","02","No answer","01","630","0","720"
"523","20160112150921","51","01","Full time","01","465","0","630"
"524","20160112150925","72","02","Part time","01","540","0","430"
"525","20160112150927","40","01","Full time","01","630","0","360"
"526","20160112150929","67","01","No answer","01","320","0","840"
"527","20160112150932","28","02","Part time","02","550","0","105"
"528","20160112150938","29","02","Part time","01","600","0","210"
"529","20160112150939","51","02","Full time","01","540","0","205"
"530","20160112150949","60","02","No answer","01","540","0","430"
